Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
Ryan O'Reilly,27,C,26,8,15,23,2,4,7,1,0,2,11,4,0,54,14.8,546,21:00
Jaden Schwartz,26,C,26,12,8,20,9,2,10,2,0,2,8,0,0,63,19,454,17:28
Alex Pietrangelo,29,D,26,3,16,19,5,12,3,0,0,1,12,4,0,77,3.9,669,25:45:00
Vladimir Tarasenko,27,RW,26,11,6,17,-5,4,6,5,0,2,4,2,0,90,12.2,476,18:19
David Perron,30,LW,26,7,9,16,4,16,5,2,0,2,7,2,0,58,12.1,473,18:12
Tyler Bozak,32,C,26,5,8,13,-2,8,4,1,0,2,6,2,0,33,15.2,367,14:08
Brayden Schenn,27,C,26,5,7,12,-2,14,4,1,0,0,5,2,0,57,8.8,487,18:43
Colton Parayko,25,D,26,2,10,12,6,10,1,1,0,0,8,2,0,59,3.4,653,25:07:00
Oskar Sundqvist,24,C,25,4,5,9,5,8,4,0,0,1,5,0,0,44,9.1,404,16:08
Vince Dunn,22,D,20,2,6,8,-5,8,2,0,0,0,3,3,0,31,6.5,303,15:10
Pat Maroon,30,LW,26,3,4,7,-3,8,3,0,0,2,2,2,0,37,8.1,321,12:20
Joel Edmundson,25,D,22,1,6,7,-2,10,1,0,0,0,6,0,0,22,4.5,364,16:32
Jay Bouwmeester,35,D,26,0,7,7,9,18,0,0,0,0,7,0,0,23,0,611,23:30
Ivan Barbashev,23,C,25,3,3,6,0,4,3,0,0,0,3,0,0,25,12,312,12:28
Robert Thomas,19,C,21,1,5,6,-2,10,1,0,0,0,4,1,0,30,3.3,276,13:07
Alex Steen,34,C,26,2,3,5,2,2,2,0,0,0,3,0,0,20,10,348,13:22
Zach Sanford,24,LW,8,1,3,4,4,0,1,0,0,0,3,0,0,8,12.5,80,10:00
Sammy Blais,22,LW,15,1,2,3,3,10,1,0,0,0,2,0,0,22,4.5,180,11:58
Carl Gunnarsson,32,D,19,1,2,3,6,4,1,0,0,1,2,0,0,6,16.7,284,14:57
Robert Bortuzzo,29,D,17,2,0,2,3,30,2,0,0,1,0,0,0,12,16.7,209,12:19
Robby Fabbri,23,C,10,1,0,1,-4,0,1,0,0,0,0,0,0,11,9.1,87,8:39
Jordan Binnington,25,G,26,0,1,1,0,4,0,0,0,0,0,1,0,0,,1560,59:59:00
Jake Allen,28,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,24,24:28:00
