,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side
3630273,2018030417_4,2018030417,4,6.0,19.0,Faceoff,,0.0,0.0,1,REGULAR,0,1200,2019-06-13 00:20:20,0,0,Sean Kuraly faceoff won against Oskar Sundqvist,0.0,0.0,left
3630274,2018030417_5,2018030417,5,19.0,6.0,Hit,,-65.0,-35.0,1,REGULAR,6,1194,2019-06-13 00:21:55,0,0,Ivan Barbashev hit Charlie McAvoy,65.0,35.0,right
3630275,2018030417_6,2018030417,6,,,Stoppage,,,,1,REGULAR,10,1190,2019-06-13 00:21:45,0,0,Icing,,,
3630276,2018030417_7,2018030417,7,6.0,19.0,Faceoff,,-69.0,-22.0,1,REGULAR,10,1190,2019-06-13 00:21:48,0,0,Sean Kuraly faceoff won against Jaden Schwartz,-69.0,-22.0,left
3630277,2018030417_8,2018030417,8,19.0,6.0,Shot,Wrist Shot,-69.0,20.0,1,REGULAR,27,1173,2019-06-13 00:22:23,0,0,Jaden Schwartz Wrist Shot saved by Tuukka Rask,69.0,-20.0,right
3630278,2018030417_9,2018030417,9,,,Stoppage,,,,1,REGULAR,44,1156,2019-06-13 00:22:55,0,0,Puck in Crowd,,,
3630279,2018030417_10,2018030417,10,19.0,6.0,Faceoff,,-20.0,-22.0,1,REGULAR,44,1156,2019-06-13 00:22:55,0,0,Ryan O'Reilly faceoff won against Patrice Bergeron,20.0,22.0,right
3630280,2018030417_11,2018030417,11,6.0,19.0,Giveaway,,-17.0,18.0,1,REGULAR,55,1145,2019-06-13 00:23:13,0,0,Giveaway by David Pastrnak,-17.0,18.0,left
3630281,2018030417_12,2018030417,12,6.0,19.0,Hit,,-47.0,37.0,1,REGULAR,58,1142,2019-06-13 00:23:21,0,0,Torey Krug hit David Perron,-47.0,37.0,left
3630282,2018030417_13,2018030417,13,6.0,19.0,Hit,,-93.0,23.0,1,REGULAR,79,1121,2019-06-13 00:23:42,0,0,Torey Krug hit Zach Sanford,-93.0,23.0,left
3630283,2018030417_14,2018030417,14,19.0,6.0,Hit,,-79.0,-32.0,1,REGULAR,156,1044,2019-06-13 00:24:59,0,0,Brayden Schenn hit Zdeno Chara,79.0,32.0,right
