game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2018030121,6,home,FALSE,REG,Bruce Cassidy,1,38,31,2,2,1,50,7,6
2018030122,6,home,TRUE,REG,Bruce Cassidy,4,41,44,8,4,1,44.7,8,12
2018030123,6,away,FALSE,REG,Bruce Cassidy,2,36,33,6,3,1,44.4,14,3
2018030124,6,away,TRUE,REG,Bruce Cassidy,6,31,35,6,2,2,58.9,13,3
2018030125,6,home,FALSE,REG,Bruce Cassidy,1,29,29,2,3,0,64.5,13,6
2018030126,6,away,TRUE,REG,Bruce Cassidy,4,41,34,6,2,2,51.7,16,8
2018030127,6,home,TRUE,REG,Bruce Cassidy,5,32,26,4,0,0,50,17,7
2018030211,6,home,TRUE,OT,Bruce Cassidy,3,37,31,8,4,0,51.6,4,9
2018030212,6,home,FALSE,OT,Bruce Cassidy,2,31,42,8,4,1,57.6,14,13
2018030213,6,away,FALSE,REG,Bruce Cassidy,1,37,28,6,2,0,57.8,5,3
2018030214,6,away,TRUE,REG,Bruce Cassidy,4,46,25,8,6,2,59.1,6,3
2018030215,6,home,TRUE,REG,Bruce Cassidy,4,36,32,4,2,0,46.3,4,4
2018030216,6,away,TRUE,REG,Bruce Cassidy,3,29,19,8,1,0,49.2,7,4
2018030311,6,home,TRUE,REG,Bruce Cassidy,5,28,25,6,5,2,47.5,7,6
2018030312,6,home,TRUE,REG,Bruce Cassidy,6,25,35,8,2,2,58.5,11,11
2018030313,6,away,TRUE,REG,Bruce Cassidy,2,31,24,14,5,1,57.1,5,11
2018030314,6,away,TRUE,REG,Bruce Cassidy,4,23,17,4,3,2,53,14,13
2018030411,6,home,TRUE,REG,Bruce Cassidy,4,38,32,4,5,1,54.4,10,10
2018030412,6,home,FALSE,OT,Bruce Cassidy,2,23,31,6,5,1,50,9,7
2018030413,6,away,TRUE,REG,Bruce Cassidy,7,24,29,16,4,4,55.6,4,11
2018030414,6,away,FALSE,REG,Bruce Cassidy,2,23,41,8,2,0,47.7,6,9
2018030415,6,home,FALSE,REG,Bruce Cassidy,1,39,43,2,3,0,40.6,4,11
2018030416,6,away,TRUE,REG,Bruce Cassidy,5,32,27,10,4,1,41.3,4,10
2018030417,6,home,FALSE,REG,Bruce Cassidy,1,33,28,0,1,0,51,13,6
2018030161,19,away,TRUE,REG,Craig Berube,2,26,21,2,3,0,50,6,1
2018030162,19,away,TRUE,REG,Craig Berube,4,32,26,6,4,0,46.9,17,8
2018030163,19,home,FALSE,REG,Craig Berube,3,29,29,14,5,2,53.4,5,11
2018030164,19,home,FALSE,OT,Craig Berube,1,32,33,2,2,1,61.3,12,11
2018030165,19,away,TRUE,REG,Craig Berube,3,29,14,6,1,1,49.1,6,5
2018030166,19,home,TRUE,REG,Craig Berube,3,36,28,2,4,1,52.3,11,21
2018030231,19,home,TRUE,REG,Craig Berube,3,20,22,10,2,1,50.9,6,9
2018030232,19,home,FALSE,REG,Craig Berube,2,34,24,8,5,0,47.2,6,7
2018030233,19,away,TRUE,REG,Craig Berube,4,34,28,10,2,0,37.5,9,5
2018030234,19,away,FALSE,REG,Craig Berube,2,29,28,6,3,1,40.7,14,5
2018030235,19,home,FALSE,REG,Craig Berube,1,39,30,4,4,0,51.6,15,8
2018030236,19,away,TRUE,REG,Craig Berube,4,25,34,6,4,0,38.2,10,6
2018030237,19,home,TRUE,OT,Craig Berube,2,54,33,0,2,0,54.2,15,16
2018030321,19,away,FALSE,REG,Craig Berube,3,31,41,22,1,0,42.5,12,13
2018030322,19,away,TRUE,REG,Craig Berube,4,25,35,4,5,0,42.6,12,6
2018030323,19,home,FALSE,OT,Craig Berube,4,32,43,2,1,1,52.3,9,13
2018030324,19,home,TRUE,REG,Craig Berube,2,22,29,8,4,1,54.2,9,11
2018030325,19,away,TRUE,REG,Craig Berube,5,40,34,6,8,1,57.1,12,9
2018030326,19,home,TRUE,REG,Craig Berube,5,19,26,2,2,2,55.6,9,12
2018030411,19,away,FALSE,REG,Craig Berube,2,20,33,10,2,0,45.6,10,8
2018030412,19,away,TRUE,OT,Craig Berube,3,37,50,10,3,0,50,17,8
2018030413,19,home,FALSE,REG,Craig Berube,2,29,35,14,5,1,44.4,7,11
2018030414,19,home,TRUE,REG,Craig Berube,4,38,44,6,3,0,52.3,9,15
2018030415,19,away,TRUE,REG,Craig Berube,2,21,34,6,1,0,59.4,7,8
2018030416,19,home,FALSE,REG,Craig Berube,1,29,29,20,4,0,58.7,12,11
2018030417,19,away,TRUE,REG,Craig Berube,4,20,36,2,0,0,49,7,8
